species_sample,compound_number,TIC
T69_1421,38,29954.709351
T69_1421,39,5230.471344
T69_1421,41,57856.041870
T69_1421,42,46622.021545
T69_1421,43,116850.672363
T69_1421,44,78122.713684
T69_1421,45,86391.458557
T69_1421,46,97202.507690
T69_1421,47,12100.329407
T69_1421,51,15975.416901
T69_1421,57,393.000000
T69_1421,59,15431.624634
T69_1421,60,47366.469208
T69_1421,61,54389.104553
T69_1421,63,32804.740112
T69_1421,64,8795.643402
T69_1421,65,47844.308105
T69_1421,67,29880.768112
T69_1421,68,6552.877014
T69_1421,69,53872.249207
T69_1421,70,588.971680
T69_1421,71,17981.063049
T69_1421,72,17761.159851
T69_1421,73,30819.282959
T69_1421,74,16474.719604
T69_1421,75,27435.829468
T69_1421,79,1100.437012
T69_1421,82,103555.100098
T69_1421,85,25219.792114
T69_1421,86,24282.519592
T69_1421,87,27352.676514
T69_1421,88,11405.786499
T69_1421,89,29277.851074
T69_1421,90,11759.425964
T69_1421,91,1980.320007
T69_1421,93,1706.332153
T69_1421,94,17443.737061
T69_1421,95,6553.507935
T69_1421,100,20276.591370
T69_1421,104,45296.680420
T69_1421,105,13886.922012
T69_1421,106,14950.871094
T69_1421,107,1179746.832031
T69_1421,108,8043.489746
T69_1421,110,20746.697693
T69_1421,111,9715.209717
T69_1421,113,11681.718140
T69_1421,114,18068.878021
T69_1421,115,6403.380676
T69_1421,116,10127.060303
T69_1421,118,1520.312927
T69_1421,121,7617.580292
T69_1421,123,11189.522705
T69_1421,125,15976.077637
T69_1421,127,14674.641510
T69_1421,129,18631.559204
T69_1421,131,13666.142761
T69_1421,132,16355.163849
T69_1421,133,2303.821533
T69_1421,135,11903.101379
T69_1421,136,20786.598999
T69_1421,137,14296.667328
T69_1421,138,8474.157227
T69_1421,143,9789.267288
T69_1421,145,57852.050812
T69_1421,149,15930.661194
T69_1421,151,31141.640076
T69_1421,152,36003.656616
T69_1421,154,21843.641296
T69_1421,155,11444.209076
