feature_number,sample,rt,mz,PC_ID,TIC
70,DN732,22.376500,382.984200,M4_4,4.631667
70,DN733,22.376500,382.984200,M4_4,0.000000
70,DN734,22.376500,382.984200,M4_4,5.513889
70,DN1420,22.538700,382.985600,T69_1,1826.478727
70,DN1421,22.538700,382.985600,T69_1,1417.901655
70,DN1422,22.538700,382.985600,T69_1,3051.803009
70,DN1423,22.538700,382.985600,T69_1,845.766794
70,DN1521,22.538700,382.985600,T69_1,732.924375
71,DN1686,1.227800,383.120500,M4_8,14268.010547
71,DN1689,1.227800,383.120500,M4_8,18166.706829
71,DN732,1.227800,383.120500,M4_8,2790.467534
71,DN733,1.227800,383.120500,M4_8,3937.425622
71,DN734,1.227800,383.120500,M4_8,3806.817425
72,DN1686,1.249100,384.123000,M4_79,2578.018685
72,DN1689,1.249100,384.123000,M4_79,2930.751125
72,DN732,1.249100,384.123000,M4_79,497.839866
72,DN733,1.249100,384.123000,M4_79,354.893388
72,DN734,1.249100,384.123000,M4_79,355.683672
73,DN1686,6.522500,385.994700,M4_1,5480.876431
73,DN1689,6.522500,385.994700,M4_1,4663.891190
73,DN732,6.522500,385.994700,M4_1,7014.382374
73,DN733,6.522500,385.994700,M4_1,5918.484931
73,DN734,6.522500,385.994700,M4_1,4927.574757
74,DN1686,1.704900,391.944900,M4_123,3488.875193
74,DN1689,1.704900,391.944900,M4_123,1270.603342
74,DN732,1.704900,391.944900,M4_123,2457.368046
74,DN733,1.704900,391.944900,M4_123,4959.075892
74,DN734,1.704900,391.944900,M4_123,2101.127492
75,DN1686,1.255100,405.102800,M4_79,983.711736
75,DN1689,1.255100,405.102800,M4_79,3896.513041
75,DN732,1.255100,405.102800,M4_79,308.104110
75,DN733,1.255100,405.102800,M4_79,325.714898
75,DN734,1.255100,405.102800,M4_79,339.873144
76,DN1686,26.036800,410.101900,M4_72,7073.047047
76,DN1689,26.036800,410.101900,M4_72,3197.803310
76,DN732,26.036800,410.101900,M4_72,4980.332077
76,DN733,26.036800,410.101900,M4_72,3429.533250
76,DN734,26.036800,410.101900,M4_72,4604.111573
76,DN1420,26.043500,410.102100,T69_151,5856.944980
76,DN1421,26.043500,410.102100,T69_151,4619.681789
76,DN1422,26.043500,410.102100,T69_151,11735.495373
76,DN1423,26.043500,410.102100,T69_151,1645.514194
76,DN1521,26.043500,410.102100,T69_151,3867.206886
77,DN1686,3.036400,411.021600,M4_98,3575.234431
77,DN1689,3.036400,411.021600,M4_98,905.470520
77,DN732,3.036400,411.021600,M4_98,448.197828
77,DN733,3.036400,411.021600,M4_98,257.047528
77,DN734,3.036400,411.021600,M4_98,1084.151548
78,DN1686,1.243100,416.064700,M4_79,3004.804385
78,DN1689,1.243100,416.064700,M4_79,1014.788294
78,DN732,1.243100,416.064700,M4_79,393.748890
78,DN733,1.243100,416.064700,M4_79,696.007922
78,DN734,1.243100,416.064700,M4_79,281.156313
79,DN1686,6.515100,426.082000,M4_1,3005.779164
79,DN1689,6.515100,426.082000,M4_1,1506.928818
79,DN732,6.515100,426.082000,M4_1,3224.485445
79,DN733,6.515100,426.082000,M4_1,2204.220728
79,DN734,6.515100,426.082000,M4_1,1819.602939
80,DN1686,9.008800,438.081000,M4_3,13213.722866
80,DN1689,9.008800,438.081000,M4_3,5950.618645
80,DN732,9.008800,438.081000,M4_3,14160.027945
80,DN733,9.008800,438.081000,M4_3,14623.897285
80,DN734,9.008800,438.081000,M4_3,7804.264826
81,DN1686,6.434800,439.086500,M4_63,3636.625220
81,DN1689,6.434800,439.086500,M4_63,8284.049241
81,DN732,6.434800,439.086500,M4_63,3691.864781
81,DN733,6.434800,439.086500,M4_63,7731.808238
81,DN734,6.434800,439.086500,M4_63,1064.862140
82,DN1686,12.506000,447.091100,M4_74,4359.518140
82,DN1689,12.506000,447.091100,M4_74,4640.920744
82,DN732,12.506000,447.091100,M4_74,4280.411693
82,DN733,12.506000,447.091100,M4_74,3057.261545
82,DN734,12.506000,447.091100,M4_74,4432.888540
83,DN1686,8.849700,453.045600,M4_15,665.466286
83,DN1689,8.849700,453.045600,M4_15,1016.301228
83,DN732,8.849700,453.045600,M4_15,3036.229777
83,DN733,8.849700,453.045600,M4_15,3497.668196
83,DN734,8.849700,453.045600,M4_15,679.526888
84,DN1686,6.504900,454.076500,M4_1,4127.168143
84,DN1689,6.504900,454.076500,M4_1,1973.808383
84,DN732,6.504900,454.076500,M4_1,6514.156116
84,DN733,6.504900,454.076500,M4_1,5689.786194
84,DN734,6.504900,454.076500,M4_1,3760.776474
85,DN1686,8.851500,455.061200,M4_15,628.919675
85,DN1689,8.851500,455.061200,M4_15,1594.725120
85,DN732,8.851500,455.061200,M4_15,5308.153128
85,DN733,8.851500,455.061200,M4_15,4631.235850
85,DN734,8.851500,455.061200,M4_15,1137.346547
86,DN1686,10.825500,457.075800,M4_31,5549.085132
86,DN1686,10.825500,457.075800,M4_31,5549.085132
86,DN1689,10.825500,457.075800,M4_31,1996.178520
86,DN1689,10.825500,457.075800,M4_31,1996.178520
86,DN732,10.825500,457.075800,M4_31,3057.132566
86,DN732,10.825500,457.075800,M4_31,3057.132566
86,DN733,10.825500,457.075800,M4_31,3942.640001
86,DN733,10.825500,457.075800,M4_31,3942.640001
86,DN734,10.825500,457.075800,M4_31,4248.588977
86,DN734,10.825500,457.075800,M4_31,4248.588977
87,DN1686,8.841400,457.076100,M4_15,9937.322522
87,DN1689,8.841400,457.076100,M4_15,11830.975338
87,DN732,8.841400,457.076100,M4_15,24469.750447
87,DN733,8.841400,457.076100,M4_15,25321.908076
87,DN734,8.841400,457.076100,M4_15,6286.481807
88,DN1686,8.841400,458.079900,M4_15,1003.222673
88,DN1689,8.841400,458.079900,M4_15,2799.662028
88,DN732,8.841400,458.079900,M4_15,5459.418409
